Country,Team,League,Attack,Midfield,Defence
Netherlands,PSV,Eredivisie,77,78,75
Germany,SV Werder Bremen,Bundesliga,72,75,74
Germany,TSG 1899 Hoffenheim,Bundesliga,76,73,74
Germany,FC Augsburg,Bundesliga,74,74,76
Argentina,Boca Juniors,Liga Profesional de Fútbol,76,75,71
Saudi Arabia,Al Ittihad,Pro League,77,78,71
Portugal,Sporting Clube de Braga,Primeira Liga,74,75,74
Germany,1. FSV Mainz 05,Bundesliga,77,77,74
Italy,Como,Serie A,75,75,73
Netherlands,Ajax,Eredivisie,76,75,74
Netherlands,Feyenoord,Eredivisie,74,77,74
Saudi Arabia,Al Ahli SFC,Pro League,80,77,70
England,Burnley,Premier League,74,74,74
Germany,1. FC Union Berlin,Bundesliga,72,74,75
France,RC Lens,Ligue 1,74,75,73
France,RC Strasbourg Alsace,Ligue 1,76,74,75
England,Sunderland,Premier League,72,75,74
Spain,RCD Espanyol,La Liga,73,75,74
Argentina,Racing Club,Liga Profesional de Fútbol,78,73,74
Belgium,Club Brugge KV,Pro League,74,74,72
Saudi Arabia,Al Qadsiah FC,Pro League,76,73,71
France,Toulouse FC,Ligue 1,72,72,73
Argentina,Talleres,Liga Profesional de Fútbol,73,72,72
Germany,1. FC Köln,Bundesliga,74,73,72
Italy,Udinese,Serie A,74,73,72
Italy,Sassuolo,Serie A,75,72,70
Netherlands,AZ Alkmaar,Eredivisie,73,72,73
Belgium,KRC Genk,Pro League,74,72,75
Spain,Deportivo Alavés,La Liga,73,74,72
Argentina,Estudiantes de La Plata,Liga Profesional de Fútbol,73,74,72
Italy,Genoa,Serie A,74,73,72
Belgium,Union Saint-Gilloise,Pro League,75,72,73
Argentina,Vélez Sarsfield,Liga Profesional de Fútbol,72,72,72
USA,Inter Miami,Major League Soccer,78,73,70
Germany,Hamburger SV,Bundesliga,72,72,70
Italy,Parma,Serie A,71,73,69
Italy,Cagliari,Serie A,71,72,74
France,AJ Auxerre,Ligue 1,72,72,72
Argentina,Lanús,Liga Profesional de Fútbol,72,72,70
Spain,Levante UD,La Liga,74,73,71
France,FC Nantes,Ligue 1,72,73,70
Italy,Cremonese,Serie A,71,71,71
Italy,Lecce,Serie A,72,69,71
Netherlands,FC Twente,Eredivisie,73,71,72
France,Stade Brestois 29,Ligue 1,75,76,72
Germany,1. FC Heidenheim 1846,Bundesliga,73,73,72
Argentina,Belgrano de Córdoba,Liga Profesional de Fútbol,74,70,70
France,Paris FC,Ligue 1,71,74,71
Italy,Hellas Verona FC,Serie A,71,72,72
Spain,Real Oviedo,La Liga,72,72,71
Argentina,Rosario Central,Liga Profesional de Fútbol,71,74,72
Argentina,Independiente,Liga Profesional de Fútbol,69,72,71
USA,Seattle Sounders FC,Major League Soccer,70,71,71
Argentina,Newell's Old Boys,Liga Profesional de Fútbol,71,68,71
Portugal,Vitória SC,Primeira Liga,71,72,70
Argentina,Huracán,Liga Profesional de Fútbol,68,68,71
Netherlands,FC Utrecht,Eredivisie,71,69,71
Argentina,Argentinos Juniors,Liga Profesional de Fútbol,69,71,71
France,FC Lorient,Ligue 1,71,71,70
Germany,FC St. Pauli,Bundesliga,72,70,71
France,Angers SCO,Ligue 1,74,70,71
USA,FC Cincinnati,Major League Soccer,77,72,69
Portugal,GD Estoril Praia,Primeira Liga,71,70,69
France,FC Metz,Ligue 1,71,71,68
Argentina,Godoy Cruz,Liga Profesional de Fútbol,67,71,70
Argentina,Atlético Tucumán,Liga Profesional de Fútbol,72,68,69
Argentina,Defensa y Justicia,Liga Profesional de Fútbol,69,70,70
USA,Los Angeles FC,Major League Soccer,71,69,70
Netherlands,NEC Nijmegen,Eredivisie,68,69,68
Belgium,KV Mechelen,Pro League,72,70,69
Italy,Pisa,Serie A,72,70,68
Portugal,Santa Clara,Primeira Liga,71,69,70
Belgium,KAA Gent,Pro League,70,68,68
Belgium,KVC Westerlo,Pro League,73,67,71
Portugal,Famalicão,Primeira Liga,69,71,69
USA,Columbus Crew,Major League Soccer,66,71,69
USA,LA Galaxy,Major League Soccer,68,72,69
France,Le Havre AC,Ligue 1,66,72,70
USA,Charlotte FC,Major League Soccer,66,72,67
Spain,Elche CF,La Liga,68,69,71
Argentina,Gimnasia y Esgrima La Plata,Liga Profesional de Fútbol,67,67,70
Belgium,Royal Antwerp FC,Pro League,74,71,65
USA,Atlanta United,Major League Soccer,73,72,69
USA,Vancouver Whitecaps FC,Major League Soccer,72,70,68
Saudi Arabia,Al Taawoun FC,Pro League,72,70,67
Netherlands,Go Ahead Eagles,Eredivisie,67,68,71
USA,Minnesota United FC,Major League Soccer,71,70,67
USA,Portland Timbers,Major League Soccer,69,71,68
Argentina,Platense,Liga Profesional de Fútbol,71,69,67
USA,San Jose Earthquakes,Major League Soccer,75,67,66
Argentina,CA Banfield,Liga Profesional de Fútbol,69,67,67
Portugal,Casa Pia,Primeira Liga,69,67,70
Portugal,Gil Vicente FC,Primeira Liga,68,68,68
Argentina,Club Atlético Unión,Liga Profesional de Fútbol,69,70,69
Argentina,Instituto Atlético Central Córdoba,Liga Profesional de Fútbol,67,69,67
USA,San Diego FC,Major League Soccer,72,70,68
USA,St. Louis CITY SC,Major League Soccer,69,68,67
Portugal,FC Arouca,Primeira Liga,69,68,69
Argentina,Barracas Central,Liga Profesional de Fútbol,70,69,69
Belgium,Royal Charleroi Sporting Club,Pro League,72,67,68
Argentina,Independiente Rivadavia,Liga Profesional de Fútbol,71,66,68
USA,New York Red Bulls,Major League Soccer,75,69,66
USA,New England Revolution,Major League Soccer,72,72,66
USA,Chicago Fire,Major League Soccer,76,69,66
USA,Sporting Kansas City,Major League Soccer,75,69,67
Saudi Arabia,NEOM SC,Pro League,71,67,69
USA,Orlando City SC,Major League Soccer,71,70,67
Belgium,Standard de Liège,Pro League,71,67,67
Portugal,Rio Ave FC,Primeira Liga,75,67,68
USA,Austin FC,Major League Soccer,71,68,67
USA,Nashville SC,Major League Soccer,70,70,69
Argentina,San Lorenzo de Almagro,Liga Profesional de Fútbol,70,68,68
Belgium,Oud-Heverlee Leuven,Pro League,63,70,69
USA,Philadelphia Union,Major League Soccer,71,68,67
Argentina,Central Cordoba SdE,Liga Profesional de Fútbol,69,69,67
Argentina,Club Atlético Sarmiento,Liga Profesional de Fútbol,68,67,68
Argentina,CA Aldosivi,Liga Profesional de Fútbol,66,68,69
Portugal,CD Nacional,Primeira Liga,68,68,68
Argentina,Tigre,Liga Profesional de Fútbol,67,68,70
Portugal,Moreirense FC,Primeira Liga,67,68,67
Netherlands,Fortuna Sittard,Eredivisie,69,68,68
Portugal,AVS Futebol SAD,Primeira Liga,67,68,69
USA,FC Dallas,Major League Soccer,70,68,67
USA,Houston Dynamo,Major League Soccer,73,69,67
USA,New York City FC,Major League Soccer,69,69,65
Portugal,Estrela da Amadora,Primeira Liga,70,67,67
USA,Real Salt Lake,Major League Soccer,64,70,66
Belgium,FCV Dender EH,Pro League,68,64,66
USA,Toronto FC,Major League Soccer,65,68,67
Netherlands,Sparta Rotterdam,Eredivisie,68,67,67
Netherlands,SC Heerenveen,Eredivisie,67,68,66
Portugal,CD Tondela,Primeira Liga,66,67,67
Belgium,Sint-Truidense VV,Pro League,67,67,66
USA,DC United,Major League Soccer,69,64,69
USA,Colorado Rapids,Major League Soccer,68,66,69
Belgium,Cercle Brugge KSV,Pro League,68,64,68
Netherlands,Heracles Almelo,Eredivisie,67,66,66
Saudi Arabia,Al Shabab,Pro League,70,65,61
Argentina,Club Atlético San Martín,Liga Profesional de Fútbol,63,66,66
Netherlands,NAC Breda,Eredivisie,67,66,66
Netherlands,PEC Zwolle,Eredivisie,66,66,66
Netherlands,FC Groningen,Eredivisie,66,66,66
Belgium,RAAL La Louvière,Pro League,65,65,65
Belgium,SV Zulte Waregem,Pro League,70,64,64
Argentina,Deportivo Riestra,Liga Profesional de Fútbol,68,63,64
USA,CF Montréal,Major League Soccer,66,65,63
Netherlands,FC Volendam,Eredivisie,68,64,64
Netherlands,Excelsior,Eredivisie,61,65,66
Portugal,Alverca,Primeira Liga,65,65,63
Saudi Arabia,Al Khaleej,Pro League,52,68,63
Saudi Arabia,Al Riyadh,Pro League,55,67,63
Saudi Arabia,Al Akhdood Saudi Club,Pro League,61,65,63
Saudi Arabia,Al Fateh,Pro League,56,67,65
Netherlands,Telstar,Eredivisie,61,63,63
Saudi Arabia,Al Fayha,Pro League,67,58,64
Saudi Arabia,Damac FC,Pro League,61,64,63
Saudi Arabia,Al-Najma SC,Pro League,68,59,59
Saudi Arabia,Al-Kholood,Pro League,61,60,63
Saudi Arabia,Al Hazem FC,Pro League,56,57,58
National Team,France,International,87,83,85
National Team,Spain,International,82,85,83
National Team,England,International,84,84,80
National Team,Portugal,International,84,83,82
National Team,Germany,International,79,82,84
National Team,Italy,International,80,83,83
National Team,Netherlands,International,82,85,83
National Team,Argentina,International,84,85,80
National Team,Morocco,International,81,77,80
National Team,Croatia,International,78,79,78
National Team,Denmark,International,77,78,77
National Team,Norway,International,82,78,75
National Team,Sweden,International,87,78,77
National Team,Ukraine,International,79,75,76
National Team,United States,International,75,79,77
National Team,Czechia,International,77,76,74
National Team,Poland,International,79,75,75
National Team,Scotland,International,77,77,74
National Team,Mexico,International,78,76,74
National Team,Ghana,International,80,76,74
National Team,Republic of Ireland,International,73,73,74
National Team,Wales,International,72,73,75
National Team,Hungary,International,74,74,74
National Team,Romania,International,71,74,73
National Team,Finland,International,72,73,67
National Team,Iceland,International,76,71,69
National Team,Northern Ireland,International,66,69,70
National Team,Qatar,International,72,71,68
Other Teams,AEK Athens,Various,75,75,74
Other Teams,Al Ain FC,Various,77,71,68
Other Teams,APOEL FC,Various,68,68,64
Other Teams,Dinamo Zagreb,Various,69,71,69
Other Teams,Dinamo Kiev,Various,73,73,72
Other Teams,Forencvárosi TC,Various,70,71,69
Other Teams,Hajduk Split,Various,70,67,69
Other Teams,HJK Helsinki,Various,66,65,62
Other Teams,Olympiacos FC,Various,77,76,74
Other Teams,Panathinaikos,Various,74,73,72
Other Teams,PAOK FC,Various,69,75,73
Other Teams,Qarabag FK,Various,68,69,67
Other Teams,Shakhtar Donetsk,Various,71,74,73
Other Teams,Slavia Praga,Various,74,74,74
Other Teams,Sparta Praga,Various,74,71,73
Other Teams,Universidad Católica,Various,69,69,66
Other Teams,Viktoria Pilsen,Various,73,71,72
Other Teams,Soccer Aid,Various,88,89,89
Other Teams,Zlatan FC,Various,91,91,91
Other Teams,Clasicos XI,Various,92,92,91
Other Teams,MLS All Stars,Various,76,76,71

